"","ClusterID","TID","X","Y","V","Movie","Type","ID","StepX","StepY","State"
"124","4","3",172.333,111.042,1.712,"20180206","non-invader","20180206-4-3-non-invader",5.251,4.236,"2"
"125","4","3",170.456,113.286,0.743,"20180206","non-invader","20180206-4-3-non-invader",1.87700000000001,2.244,"2"
"126","4","3",170.334,115.019,0.441,"20180206","non-invader","20180206-4-3-non-invader",0.121999999999986,1.733,"2"
"127","4","3",172.085,121.507,1.706,"20180206","non-invader","20180206-4-3-non-invader",1.751,6.488,"2"
"128","4","3",171.527,123.003,0.405,"20180206","non-invader","20180206-4-3-non-invader",0.558000000000021,1.496,"2"
"129","4","3",170.01,124.035,0.466,"20180206","non-invader","20180206-4-3-non-invader",1.517,1.032,"2"
"130","4","3",167.017,124.536,0.77,"20180206","non-invader","20180206-4-3-non-invader",2.99299999999999,0.501000000000005,"2"
"131","4","3",163.662,124.984,0.859,"20180206","non-invader","20180206-4-3-non-invader",3.35499999999999,0.447999999999993,"2"
"132","4","3",162.583,125.891,0.358,"20180206","non-invader","20180206-4-3-non-invader",1.07900000000001,0.907000000000011,"2"
"133","4","3",159.068,129.105,1.209,"20180206","non-invader","20180206-4-3-non-invader",3.51499999999999,3.21399999999998,"2"
"134","4","3",156.163,131.825,1.01,"20180206","non-invader","20180206-4-3-non-invader",2.905,2.72,"2"
"135","4","3",152.089,134.51,1.238,"20180206","non-invader","20180206-4-3-non-invader",4.07400000000001,2.685,"2"
"136","4","3",149.752,136.093,0.716,"20180206","non-invader","20180206-4-3-non-invader",2.33699999999999,1.583,"2"
"137","4","3",147.823,137.632,0.626,"20180206","non-invader","20180206-4-3-non-invader",1.929,1.53900000000002,"2"
"138","4","3",144.242,140.906,1.231,"20180206","non-invader","20180206-4-3-non-invader",3.58100000000002,3.274,"2"
"143","4","3",141.814,141.619,0.418,"20180206","non-invader","20180206-4-3-non-invader",1.60900000000001,0.347000000000008,"1"
"144","4","3",141.044,141.83,0.203,"20180206","non-invader","20180206-4-3-non-invader",0.769999999999982,0.211000000000013,"1"
"145","4","3",139.651,142.13,0.362,"20180206","non-invader","20180206-4-3-non-invader",1.393,0.299999999999983,"1"
"146","4","3",138.627,142.336,0.265,"20180206","non-invader","20180206-4-3-non-invader",1.024,0.206000000000017,"1"
